날짜,평균기온,최고기온,최저기온,강수량(mm),신적설(cm),평균풍속(m/s),평균습도(%),운량(1/10),일조시간(hr),날씨
1967-12-08,-10.7,-6.6,-14.5,0.0,0.0,2.5,51.0,1.8,5.6,맑음
1967-12-09,-9.2,-5.4,-13.0,0.0,0.0,2.2,58.0,1.8,7.0,맑음
1967-12-10,-7.8,-4.8,-10.1,0.0,0.3,2.4,61.0,1.3,6.2,맑음/눈
1967-12-11,-5.6,-0.6,-10.3,0.0,0.0,2.1,60.0,0.3,7.8,맑음
1967-12-12,-3.9,-1.2,-6.3,0.2,1.5,2.0,72.0,5.0,0.0,구름조금/눈
1967-12-13,-0.3,3.2,-3.1,0.0,0.2,2.0,84.0,9.5,2.0,흐림/눈
1967-12-14,-1.0,2.5,-5.0,7.2,12.2,3.9,86.0,9.0,0.9,흐림/눈
1967-12-15,-4.3,-0.6,-8.4,0.0,0.2,3.0,60.0,4.5,8.0,구름조금/눈
1967-12-16,1.4,4.2,-2.0,0.0,0.0,3.0,70.0,7.0,0.0,구름많음
1967-12-17,-1.7,3.9,-5.9,0.0,0.0,1.5,69.0,0.0,7.3,맑음
1967-12-18,0.2,6.4,-4.8,0.0,0.0,1.5,76.0,5.8,6.4,구름많음
1967-12-19,1.4,5.6,-2.4,0.4,0.0,1.4,79.0,6.0,4.4,구름많음/비
1967-12-20,-2.2,2.3,-7.2,0.0,0.0,5.4,70.0,4.5,5.3,구름조금
1967-12-21,-7.8,-4.8,-9.8,0.0,0.0,3.8,55.0,0.5,7.6,맑음
1967-12-22,-8.3,-4.8,-10.8,0.0,0.0,2.8,53.0,9.5,5.0,흐림
1967-12-23,-9.6,-5.8,-12.2,0.0,0.0,3.0,57.0,0.0,7.6,맑음
1967-12-24,-8.7,-3.4,-13.2,0.0,0.0,1.5,62.0,0.0,6.1,맑음
1967-12-25,-6.3,-3.8,-8.8,1.4,3.6,2.6,84.0,7.5,0.0,흐림/눈
1967-12-26,-4.8,-2.4,-8.0,0.0,0.0,3.1,66.0,4.5,6.0,구름조금
1967-12-27,-8.5,-4.8,-10.8,0.0,0.0,2.8,48.0,3.8,6.8,구름조금
1967-12-28,-12.3,-9.0,-14.8,0.0,0.0,3.4,58.0,0.5,8.0,맑음
1967-12-29,-14.5,-10.6,-17.0,0.0,0.0,3.8,53.0,0.0,8.6,맑음
1967-12-30,-12.6,-7.0,-17.4,0.0,0.0,1.8,52.0,2.5,7.2,구름조금
1967-12-31,-6.9,-1.2,-9.8,0.0,0.0,2.9,71.0,4.0,4.0,구름조금
