rank,title,singer,album
68,해요 (2022),#안녕,해요 (2022)
69,Nxde,(여자)아이들,I love
70,Monologue,테이,Monologue
71,That's Hilarious,Charlie Puth,CHARLIE
72,나의 마음에 (Seed),태양,Down to Earth
73,나비무덤,포맨 (4MEN),나비무덤
74,Say I Love You,우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04)
75,취중고백,김민석 (멜로망스),취중고백
76,Shut Down,BLACKPINK,BORN PINK
77,STAY,The Kid LAROI,Stay
78,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
79,내가 아니라도,주호,내가 아니라도
80,Pink Venom,BLACKPINK,BORN PINK
81,Kiss,NCT 도재정,Perfume - The 1st Mini Album
82,ELEVEN,IVE (아이브),ELEVEN
83,그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1
84,TOMBOY,(여자)아이들,I NEVER DIE
85,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
86,결국엔 너에게 닿아서,WSG워너비 (가야G),결국엔 너에게 닿아서
87,그라데이션,10CM,5.3
88,Say My Name,Say Yes!,BOYS PLANET - ARTIST BATTLE
89,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
90,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
91,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
92,후유증 (Can We Go Back),NCT 도재정,Perfume - The 1st Mini Album
93,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
94,That’s Not How This Works (feat. Dan + Shay),Charlie Puth,That’s Not How This Works (feat. Dan + Shay)
95,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
96,"Young, Dumb, Stupid",NMIXX,expérgo
97,다시 사랑한다면,한동근,다시 사랑한다면
98,오르트구름,윤하 (YOUNHA),YOUNHA 6th Album 'END THEORY'
99,Dive,NCT 도재정,Perfume - The 1st Mini Album
100,당신을 만나,김호중,당신을 만나
